City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,marsa matruh,31.3525,27.2453,56.95,53,5,15.55,EG,1680117078
247,jumla,29.2747,82.1838,43.9,87,76,1.39,NP,1680117079
248,talnakh,69.4865,88.3972,-18.26,100,100,6.02,RU,1680117079
249,kaitangata,-46.2817,169.8464,44.47,73,86,6.44,NZ,1680117079
250,corsicana,32.0954,-96.4689,64.26,64,75,5.75,US,1680117079
251,kalmunai,7.4167,81.8167,76.32,79,12,3.22,LK,1680117079
252,teeli,51.0333,90.2333,31.68,84,4,0.94,RU,1680117079
253,rabo de peixe,37.8,-25.5833,60.31,88,40,14.97,PT,1680117079
254,kyren,51.6828,102.1408,34.5,69,4,3.51,RU,1680117080
255,kyle,29.9984,-97.8715,71.1,58,100,8.05,US,1680116913
256,miandrivazo,-19.5167,45.4667,76.59,92,100,2.57,MG,1680116832
257,santa cruz,-17.8,-63.1667,89.65,58,40,25.32,BO,1680117071
258,olga,43.7444,135.2892,28.87,95,10,4.56,RU,1680117080
259,praia da vitoria,38.7333,-27.0667,61.75,88,100,25.41,PT,1680117080
260,xuanhua,40.6103,115.0447,52.75,17,88,1.68,CN,1680117080
261,muros,42.7762,-9.0603,63.09,81,59,16.78,ES,1680117080
262,barcelos,41.5388,-8.6151,64.85,92,93,7.61,PT,1680116859
263,shache,38.4167,77.2406,59.72,16,98,5.99,CN,1680117081
264,santo antonio do monte,-20.0872,-45.2936,76.78,68,69,2.01,BR,1680116887
265,diamantino,-14.4086,-56.4461,83.1,75,80,5.95,BR,1680117018
266,poum,-20.2333,164.0167,78.8,77,100,5.75,NC,1680117081
267,riyadh,24.6877,46.7219,69.94,18,0,7.38,SA,1680116987
268,alofi,-19.0595,-169.9187,81.01,76,100,6.71,NU,1680117081
269,jackson,42.4165,-122.8345,53.74,49,0,5.99,US,1680116828
270,hokitika,-42.7167,170.9667,43.52,71,0,6.11,NZ,1680117081
271,tautira,-17.7333,-149.15,80.65,78,99,6.96,PF,1680117082
272,wagrowiec,52.8084,17.1996,46.15,76,100,8.16,PL,1680117082
273,naze,28.3667,129.4833,59.67,85,100,12.88,JP,1680117082
274,sinnamary,5.3833,-52.95,80.94,74,19,11.95,GF,1680117083
